Timestamp,Article_ID,Current H1,Proposed H1,H1 Length,Current Title,Proposed Title,Description,Title Length,Same H1 Re-Generation,H1 Max Length,H1 Unique,Title Max Length,Title Unique,Description Length Check,Description Length
2024-10-07 08:17:07,282494,Chrome extension caught stealing crypto-wallet private keys,Investigation Reveals Chrome Extension Stealing Crypto Wallet Keys,66,Chrome extension caught stealing crypto-wallet private keys,Shitcoin Wallet Extension Exposes Crypto Private Keys,"A Chrome extension is found stealing crypto-wallet private keys, raising security concerns.",53,pass,pass,pass,pass,pass,pass,91
2024-10-07 22:10:24,282494,Investigation Reveals Chrome Extension Stealing Crypto Wallet Keys,Investigation Uncovers Chrome Extension Compromising Crypto Wallet Security,75,Investigation Reveals Chrome Extension Stealing Crypto Wallet Keys,Chrome Extension Exposes Crypto Wallet Keys: Security Alert,"A Chrome extension is found stealing crypto wallet keys, raising security concerns.",59,pass,pass,pass,pass,pass,pass,83
2024-10-07 22:17:59,282494,Investigation Uncovers Chrome Extension Compromising Crypto Wallet Security,Investigation Reveals Chrome Extension Threatening Crypto Wallet Security,73,Investigation Uncovers Chrome Extension Compromising Crypto Wallet Security,Shitcoin Wallet Extension Exposes Crypto Users to Security Risks,"A Chrome extension compromises crypto wallet security, exposing users to risks.",64,pass,pass,pass,pass,pass,pass,79
2024-10-07 22:18:20,282500,"AI creativity will bloom in 2020, all thanks to true web machine learning",How Machine Learning Strengthens Linux Security Against Threats,63,"AI creativity will bloom in 2020, all thanks to true web machine learning",Enhancing Security with Machine Learning in Linux,Explore how machine learning enhances security measures against vulnerabilities.,49,pass,pass,pass,pass,pass,pass,80
2024-10-07 22:21:30,282494,Investigation Reveals Chrome Extension Threatening Crypto Wallet Security,Investigation Uncovers Chrome Extension Risks to Crypto Wallet Security,71,Investigation Reveals Chrome Extension Threatening Crypto Wallet Security,Chrome Extension Exposes Crypto Wallet Vulnerabilities,"A Chrome extension endangers crypto wallets, revealing serious security flaws.",54,pass,pass,pass,pass,pass,pass,78
2024-10-07 22:21:55,282500,How Machine Learning Strengthens Linux Security Against Threats,Leveraging Machine Learning to Fortify Linux Security Against Emerging Threats,78,How Machine Learning Strengthens Linux Security Against Threats,Enhancing Linux Security with Machine Learning Techniques,Explore how machine learning enhances Linux security by improving threat detection and response.,57,pass,pass,pass,pass,pass,pass,96
2024-10-12 16:53:16,282501,FPGA cards can be abused for faster and more reliable Rowhammer attacks,Understanding the Risks of FPGA-Enhanced Rowhammer Attacks,58,FPGA cards can be abused for faster and more reliable Rowhammer attacks,FPGA Cards Enhance Rowhammer Attack Efficiency,Explore how FPGA cards enhance Rowhammer attacks for improved reliability.,46,pass,pass,pass,pass,pass,pass,74
2024-10-14 21:25:59,282501,FPGA cards can be abused for faster and more reliable Rowhammer attacks,Understanding the Role of FPGA Cards in Rowhammer Attack Strategies,67,FPGA cards can be abused for faster and more reliable Rowhammer attacks,FPGA Exploits: Enhancing Rowhammer Attack Efficiency,Explore how FPGA cards enhance Rowhammer attacks and their implications for security.,52,pass,pass,pass,pass,pass,pass,85
2024-10-14 21:26:13,282502,New USB cable kills your Linux laptop if stolen in a public place,How a New USB Cable Can Compromise Your Linux Laptop Security,61,New USB cable kills your Linux laptop if stolen in a public place,Risks of New USB Cable for Linux Laptops in Public Spaces,"A new USB cable poses risks to Linux laptops if stolen in public, highlighting security vulnerabilities.",57,pass,pass,pass,pass,pass,pass,104
2024-10-14 21:28:19,282502,New USB cable kills your Linux laptop if stolen in a public place,How a New USB Cable Can Compromise Your Linux Laptop Security,61,New USB cable kills your Linux laptop if stolen in a public place,USB Cable Threat: Protect Your Linux Laptop from Theft,"A new USB cable poses risks to Linux laptops if stolen in public, highlighting security concerns.",54,pass,pass,pass,pass,pass,pass,97
2024-10-14 21:28:25,282503,Python 2.7 Reaches End of Life After 20 Years of Development,Understanding the Impact of Python 2.7 Reaching End of Life,59,Python 2.7 Reaches End of Life After 20 Years of Development,Python 2.7 Support Ends: What Users Need to Know,"Python 2.7 reaches end of life, impacting users and developers worldwide.",48,pass,pass,pass,pass,pass,pass,73
2024-10-15 00:26:08,282503,Python 2.7 Reaches End of Life After 20 Years of Development,Understanding the Implications of Python 2.7 Reaching End of Life,65,Python 2.7 Reaches End of Life After 20 Years of Development,Impact of Python 2.7 End of Life on Developers,"Python 2.7 reaches end of life, impacting users and developers worldwide.",46,pass,pass,pass,pass,pass,pass,73
2024-10-15 00:26:15,282504,"Linux Advisory Watch: January 3rd, 2020","Latest Security Advisories for Linux: January 3rd, 2020 Updates",63,"Linux Advisory Watch: January 3rd, 2020",Critical Linux Kernel Vulnerabilities and Security Updates - January 2020,"Explore the latest Linux security advisories and updates for January 3rd, 2020.",73,pass,pass,pass,pass,pass,pass,79
2024-10-16 00:33:53,282504,"Linux Advisory Watch: January 3rd, 2020","Overview of Linux Security Advisories and Updates for January 3rd, 2020",71,"Linux Advisory Watch: January 3rd, 2020","Critical Linux Security Updates: January 3rd, 2020","Explore critical Linux security updates and advisories from January 3rd, 2020.",50,pass,pass,pass,pass,pass,pass,78
2024-10-16 00:44:20,282504,"Linux Advisory Watch: January 3rd, 2020","Latest Security Advisories for Linux: January 3rd, 2020 Updates",63,"Linux Advisory Watch: January 3rd, 2020",Critical Linux Kernel Vulnerabilities and Security Updates - January 2020,"Explore the latest Linux security advisories and updates for January 3rd, 2020.",73,pass,pass,pass,pass,pass,pass,79
2024-10-16 00:49:19,282548,Kali Linux to Default to Non-Root User With 2020.1 Release,Kali Linux 2020.1 Release: Transition to Non-Root User Default,62,Kali Linux to Default to Non-Root User With 2020.1 Release,Kali Linux 2020.1 Update: Default Non-Root User Change,Kali Linux 2020.1 shifts to a non-root user default for enhanced security.,54,pass,pass,pass,pass,pass,pass,74
